PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE_BIN,PRICE_BIN_RANGE,PRICE_BIN_ALT,PRICE_BIN_ALT_RANGE
Single Family Residential,34 Upland St,Auburn,MA,1501,318000,2.0,2.0,Pakachoag/Golf Course,1176.0,16820.0,1954.0,1,270.0,0.0,42.2224566,-71.8106902,6,"(300000, 350000]",1,"(255980.0, 319900.0]"
Single Family Residential,44 Otis St,Mansfield,MA,2048,529900,4.0,3.0,Mansfield,3522.0,17860.0,1983.0,1,150.0,0.0,41.996777200000004,-71.2460989,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Condo/Co-op,6 Daania Dr #9,Westborough,MA,1581,549900,2.0,2.5,Westborough,1718.0,27979.179487784604,2020.0,1,320.0,200.0,42.2706467,-71.6562893,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Townhouse,20 Ship Ave #10,Medford,MA,2155,519000,2.0,2.0,Medford,1193.0,20823.103170810817,1987.0,1,435.0,342.0,42.4133563,-71.099811,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Condo/Co-op,45 Lewis St Ph 18,Boston,MA,2128,1049000,2.0,2.0,East Boston,1092.0,19446.41039364062,2020.0,1,961.0,792.0,42.367359,-71.0418243,20,"(1000000, 1050000]",7,"(777000.0, 1099960.0]"
Condo/Co-op,3 Daania Dr #7,Westborough,MA,1581,549900,2.0,2.5,Westborough,1718.0,27979.179487784604,2020.0,1,320.0,200.0,42.2706467,-71.6562893,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Condo/Co-op,15 Staples Ave #37,Everett,MA,2149,289900,2.0,1.0,Everett,722.0,14403.080417868618,1960.0,1,402.0,311.0,42.414376399999995,-71.05538940000001,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Townhouse,Lot 41 Plymouth St Unit B,Canton,MA,2021,535000,3.0,2.0,Canton,1900.0,13983.0,2019.0,1,282.0,175.0,42.1540951,-71.148449,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Single Family Residential,114 Jaques St,Somerville,MA,2145,1000000,5.0,2.5,Somerville,2100.0,2683.0,1900.0,1,476.0,0.0,42.395575799999996,-71.0947869,19,"(950000, 1000000]",7,"(777000.0, 1099960.0]"
Single Family Residential,9 Connors Cir,Randolph,MA,2368,349000,3.0,1.5,Randolph,1364.0,23153.939456910848,1985.0,1,256.0,0.0,42.1635084,-71.0272815,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Condo/Co-op,160 Cottage St #001,Boston,MA,2128,384900,2.0,1.0,East Bostons Jeffries Point,624.0,13067.279505366843,1905.0,1,617.0,207.0,42.369969399999995,-71.0331449,7,"(350000, 400000]",2,"(319900.0, 399900.0]"
Single Family Residential,1068 MAIN St,Walpole,MA,2081,675000,3.0,2.5,Prime in-town location,2505.0,16988.0,1949.0,1,269.0,0.0,42.1427396,-71.2548695,13,"(650000, 700000]",6,"(635980.0, 777000.0]"
Single Family Residential,35 Woodlot Dr Lot 16,Milton,MA,2186,1608765,4.0,3.5,Milton Woods,5714.0,24829.0,2020.0,1,282.0,205.0,42.240229799999994,-71.0897371,32,"(1600000, 1650000]",9,"(1582000.0, 11000000.0]"
Condo/Co-op,9 Medford St Ph 10,Somerville,MA,2143,1100000,2.0,2.0,Somerville,1189.0,20768.580684586253,1916.0,1,925.0,874.0,42.3742011,-71.08682519999999,21,"(1050000, 1100000]",8,"(1099960.0, 1582000.0]"
Single Family Residential,12 Morton Rd,Newton,MA,2459,1900000,3.0,3.5,Newton Center,3214.0,8523.0,1916.0,1,591.0,0.0,42.339116600000004,-71.2015932,37,"(1850000, 1900000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,27 Galen St,Brockton,MA,2302,305000,3.0,1.0,Brockton,1032.0,6268.0,1925.0,1,296.0,0.0,42.0848149,-70.99362909999999,6,"(300000, 350000]",1,"(255980.0, 319900.0]"
Multi-Family (2-4 Unit),548 Fairmount St,Fitchburg,MA,1420,299900,6.0,2.0,Fitchburg,2625.0,15775.0,1880.0,1,114.0,0.0,42.5750044,-71.8320942,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Single Family Residential,40 Valley St,Blackstone,MA,1504,259900,2.0,1.0,Blackstone,1108.0,16117.0,1958.0,1,235.0,0.0,42.018772,-71.505565,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Mobile/Manufactured Home,252 newbury #112,Peabody,MA,1960,139900,2.0,1.0,Peabody,1030.0,18601.311857159904,1977.0,1,136.0,0.0,42.5514936,-70.9821227,2,"(100000, 150000]",0,"(49899.999, 255980.0]"
Single Family Residential,19 Myrtle St,Taunton,MA,2780,299000,3.0,1.5,Taunton,1225.0,14810.0,1995.0,1,244.0,0.0,41.8982437,-71.1022494,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Townhouse,16 Pemberton St Unit C,Walpole,MA,2081,229000,2.0,1.5,Walpole,1032.0,18628.573100272188,1985.0,1,222.0,100.0,42.153771,-71.248566,4,"(200000, 250000]",0,"(49899.999, 255980.0]"
Single Family Residential,24 Kingsbury St #1,Wellesley,MA,2481,1099900,4.0,2.5,Wellesley,3054.0,46189.68988678838,2006.0,1,360.0,250.0,42.3031745,-71.28786690000001,21,"(1050000, 1100000]",7,"(777000.0, 1099960.0]"
Single Family Residential,174 Highland St,Weston,MA,2493,7499000,6.0,7.5,Southside Estate Area,10002.0,130132.0,2000.0,1,750.0,0.0,42.3543701,-71.3191808,149,"(7450000, 7500000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,46 Wells Park Rd,Sturbridge,MA,1566,349900,3.0,2.0,Sturbridge,1254.0,33541.0,1969.0,1,279.0,17.0,42.138435,-72.05466329999999,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Single Family Residential,61 Berlin St,Dedham,MA,2026,419900,3.0,1.0,Dedham,1056.0,7579.0,1959.0,2,398.0,0.0,42.2533154,-71.14923809999999,8,"(400000, 450000]",3,"(399900.0, 480000.0]"
Condo/Co-op,6 Millstone Dr #6,Medway,MA,2053,529900,3.0,2.5,Medway,2150.0,33867.60800003732,2015.0,2,246.0,310.0,42.1615551,-71.42853079999999,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Townhouse,21 Towle Dr #21,Holden,MA,1520,215000,3.0,1.5,Holden,1200.0,20918.517521703798,1990.0,2,179.0,228.0,42.342690000000005,-71.86155059999999,4,"(200000, 250000]",0,"(49899.999, 255980.0]"
Single Family Residential,233 Roosevelt,Fitchburg,MA,1420,387000,3.0,2.5,Fitchburg,1948.0,32920.0,2010.0,2,199.0,0.0,42.5703738,-71.8426777,7,"(350000, 400000]",2,"(319900.0, 399900.0]"
Multi-Family (2-4 Unit),739 Cummins Hwy,Boston,MA,2126,525000,4.0,2.0,Mattapan,2352.0,6050.0,1927.0,2,223.0,0.0,42.2702586,-71.101054,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Mobile/Manufactured Home,19 Second St,Sturbridge,MA,1566,49900,2.0,1.5,Sturbridge,1103.0,19596.34723075817,1981.0,2,45.0,312.0,42.0798241,-72.08519620000001,0,"(0, 50000]",0,"(49899.999, 255980.0]"
Single Family Residential,2 Rose Ln,Sharon,MA,2067,1095000,5.0,3.5,Sharon,3802.0,359220.0,1989.0,2,288.0,0.0,42.145846,-71.189013,21,"(1050000, 1100000]",7,"(777000.0, 1099960.0]"
Condo/Co-op,100 Lovejoy Wharf Unit 6C,Boston,MA,2114,1425000,2.0,2.0,Waterfront,1244.0,21518.264870173985,2017.0,2,1145.0,1264.0,42.3664934,-71.05989459999999,28,"(1400000, 1450000]",8,"(1099960.0, 1582000.0]"
Condo/Co-op,100 Lovejoy Wharf Ph 3E,Boston,MA,2114,2999000,3.0,3.0,Waterfront,1644.0,26970.5134926302,2017.0,2,1824.0,2130.0,42.3664934,-71.05989459999999,59,"(2950000, 3000000]",9,"(1582000.0, 11000000.0]"
Condo/Co-op,100 Lovejoy Wharf Ph 1A,Boston,MA,2114,1195000,1.0,1.5,Waterfront,1083.0,19323.734799635356,2017.0,2,1103.0,1156.0,42.3664934,-71.05989459999999,23,"(1150000, 1200000]",8,"(1099960.0, 1582000.0]"
Condo/Co-op,100 Lovejoy Wharf Unit 11D,Boston,MA,2114,2299000,3.0,3.0,Waterfront,1664.0,27243.125923753014,2017.0,2,1382.0,2008.0,42.3664934,-71.05989459999999,45,"(2250000, 2300000]",9,"(1582000.0, 11000000.0]"
Condo/Co-op,100 Lovejoy Wharf Unit 7P,Boston,MA,2114,1399000,2.0,2.0,Waterfront,1342.0,22854.065782675756,2017.0,2,1042.0,1417.0,42.3664934,-71.05989459999999,27,"(1350000, 1400000]",8,"(1099960.0, 1582000.0]"
Single Family Residential,18 Maravista Rd,Worcester,MA,1606,364900,2.0,2.0,Worcester,1092.0,6969.0,2019.0,2,334.0,0.0,42.3255201,-71.80696929999999,7,"(350000, 400000]",2,"(319900.0, 399900.0]"
Condo/Co-op,69 Foundry St #401,Wakefield,MA,1880,480000,2.0,2.0,Wakefield,994.0,18110.609481138847,2020.0,2,483.0,422.0,42.4990765,-71.0744761,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Condo/Co-op,69 Foundry St #410,Wakefield,MA,1880,485000,2.0,2.0,Wakefield,994.0,18110.609481138847,2020.0,2,488.0,426.0,42.4990765,-71.0744761,9,"(450000, 500000]",4,"(480000.0, 549900.0]"
Multi-Family (2-4 Unit),27 Dearborn Ave,Lynn,MA,1905,659900,6.0,3.0,Lynn,2721.0,4206.0,1900.0,2,243.0,0.0,42.458923399999996,-70.9785955,13,"(650000, 700000]",6,"(635980.0, 777000.0]"
Single Family Residential,171 Birchtree Dr,Westwood,MA,2090,889900,3.0,2.0,Westwood,1933.0,15080.0,1950.0,2,460.0,0.0,42.2295402,-71.2226865,17,"(850000, 900000]",7,"(777000.0, 1099960.0]"
Condo/Co-op,69 Foundry St #210,Wakefield,MA,1880,475000,2.0,2.0,Wakefield,994.0,18110.609481138847,2020.0,2,478.0,422.0,42.4990765,-71.0744761,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Condo/Co-op,69 Foundry St #214,Wakefield,MA,1880,480000,2.0,2.0,Wakefield,994.0,18110.609481138847,2020.0,2,483.0,422.0,42.4990765,-71.0744761,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Single Family Residential,420 Thicket St,Weymouth,MA,2190,479900,3.0,2.0,Weymouth,1092.0,15514.0,1958.0,2,439.0,0.0,42.1432188,-70.96951700000001,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Single Family Residential,46 Deer Run Cir,Barre,MA,1005,259900,3.0,2.0,Barre,1656.0,79204.0,1992.0,2,157.0,0.0,42.4320458,-72.0723787,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Single Family Residential,9 Glen Gery Rd,Shrewsbury,MA,1545,615000,4.0,2.5,Shrewsbury,2352.0,20790.0,1992.0,2,261.0,0.0,42.325282,-71.69918829999999,12,"(600000, 650000]",5,"(549900.0, 635980.0]"
Single Family Residential,50 Woodside Ave,Rutland,MA,1543,379900,3.0,2.5,Brice Estates,2248.0,15000.0,1963.0,2,169.0,0.0,42.378122399999995,-71.9792433,7,"(350000, 400000]",2,"(319900.0, 399900.0]"
Single Family Residential,138 Cherry St,Malden,MA,2148,498888,4.0,1.5,Forestdale,1573.0,4694.0,1967.0,2,317.0,0.0,42.438059100000004,-71.05305,9,"(450000, 500000]",4,"(480000.0, 549900.0]"
Single Family Residential,189 Kendall Rd,Holden,MA,1520,459900,3.0,2.5,Holden,3388.0,44792.0,1985.0,2,136.0,0.0,42.341032,-71.845274,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Condo/Co-op,171 Copperwood Dr #171,Stoughton,MA,2072,349900,2.0,2.5,Stoughton,2500.0,38638.325544686515,1986.0,2,140.0,368.0,42.1406537,-71.1367195,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Townhouse,57 Bellwood Cir #57,Bellingham,MA,2019,239900,2.0,1.5,Bellingham,1164.0,20427.81514568274,1987.0,2,206.0,379.0,42.083843,-71.480721,4,"(200000, 250000]",0,"(49899.999, 255980.0]"
Condo/Co-op,23 Rainbow Pond Dr Unit C2,Walpole,MA,2081,314900,2.0,2.0,Walpole,1167.0,20468.70701035116,1980.0,2,270.0,674.0,42.1458131,-71.2380905,6,"(300000, 350000]",1,"(255980.0, 319900.0]"
Single Family Residential,162 Green St,Shrewsbury,MA,1545,879800,4.0,2.5,Shrewsbury,3190.0,67082.0,2020.0,2,276.0,0.0,42.2619752,-71.6789219,17,"(850000, 900000]",7,"(777000.0, 1099960.0]"
Single Family Residential,43 Prospect St,Carlisle,MA,1741,1299000,4.0,4.5,Carlisle,4375.0,87555.0,2002.0,2,297.0,0.0,42.503122399999995,-71.3327516,25,"(1250000, 1300000]",8,"(1099960.0, 1582000.0]"
Single Family Residential,51 1/2 Old Shirley Rd,Harvard,MA,1451,789900,4.0,2.5,Harvard,3190.0,353707.0,2020.0,2,248.0,0.0,42.520755799999996,-71.5832675,15,"(750000, 800000]",7,"(777000.0, 1099960.0]"
Single Family Residential,523 Bedford St,Concord,MA,1742,1475000,4.0,2.5,Concord,3977.0,20871.0,2013.0,2,371.0,0.0,42.467726,-71.3319861,29,"(1450000, 1500000]",8,"(1099960.0, 1582000.0]"
Condo/Co-op,20 Church St #3,Braintree,MA,2184,319900,2.0,1.0,Braintree,935.0,99999.0,1969.0,2,342.0,398.0,42.2230852,-71.0014786,6,"(300000, 350000]",1,"(255980.0, 319900.0]"
Single Family Residential,3.1 Pinnacle Rd,Harvard,MA,1451,899900,4.0,4.0,Harvard,3768.0,77972.0,2020.0,2,239.0,0.0,42.5082492,-71.55967290000001,17,"(850000, 900000]",7,"(777000.0, 1099960.0]"
Condo/Co-op,660 E Seventh St #1,Boston,MA,2127,899000,3.0,3.0,South Boston,1660.0,2337.0,1900.0,2,542.0,0.0,42.3324914,-71.03372370000001,17,"(850000, 900000]",7,"(777000.0, 1099960.0]"
Single Family Residential,3 Blue Heron Way,Acton,MA,1720,699000,3.0,3.0,Acton,2435.0,37752.33514353738,1995.0,2,287.0,876.0,42.501191999999996,-71.411372,13,"(650000, 700000]",6,"(635980.0, 777000.0]"
Multi-Family (2-4 Unit),7-9 Falulah St,Fitchburg,MA,1420,149900,5.0,2.0,Fitchburg,2892.0,4490.0,1900.0,2,52.0,0.0,42.5642868,-71.7797093,2,"(100000, 150000]",0,"(49899.999, 255980.0]"
Single Family Residential,199 Dutton Rd,Sudbury,MA,1776,1295000,4.0,3.0,Sudbury,4794.0,400677.0,1931.0,2,270.0,0.0,42.3717404,-71.46956800000001,25,"(1250000, 1300000]",8,"(1099960.0, 1582000.0]"
Condo/Co-op,6 Wysocki Dr #27,Dudley,MA,1571,74900,1.0,1.0,Dudley,773.0,15098.242117231786,1970.0,2,97.0,213.0,42.05343679999999,-71.8870395,1,"(50000, 100000]",0,"(49899.999, 255980.0]"
Single Family Residential,352 Washington St,Taunton,MA,2780,299900,3.0,2.0,Taunton,1771.0,5227.0,1900.0,3,169.0,0.0,41.9228289,-71.0943125,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Multi-Family (2-4 Unit),41 Clinton St,Clinton,MA,1510,329900,6.0,2.0,Clinton,2340.0,3660.0,1900.0,3,141.0,0.0,42.412620200000006,-71.689183,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Single Family Residential,43 Cambridge St,Chelmsford,MA,1824,499900,4.0,1.5,South Chelmsford,1788.0,40600.0,1966.0,3,280.0,0.0,42.5647619,-71.3307798,9,"(450000, 500000]",4,"(480000.0, 549900.0]"
Single Family Residential,1106 Massachusetts Ave,Lexington,MA,2420,1949000,4.0,5.5,Lexington,4213.0,18531.0,1760.0,3,463.0,0.0,42.4350501,-71.21115379999999,38,"(1900000, 1950000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,19 Greenwood Pl,Gardner,MA,1440,183900,3.0,1.0,Gardner,1206.0,5000.0,1910.0,3,152.0,0.0,42.566334000000005,-71.997058,3,"(150000, 200000]",0,"(49899.999, 255980.0]"
Multi-Family (2-4 Unit),80 Station St,Quincy,MA,2169,699900,6.0,2.0,Quincy,2776.0,5000.0,1880.0,3,252.0,0.0,42.2392716,-71.022824,13,"(650000, 700000]",6,"(635980.0, 777000.0]"
Townhouse,45 Mt Pleasant St #45,Cambridge,MA,2140,1985000,3.0,3.5,Avon Hill,2179.0,34262.89602516539,2019.0,3,911.0,275.0,42.3878693,-71.1253325,39,"(1950000, 2000000]",9,"(1582000.0, 11000000.0]"
Townhouse,2 SUNSET Way #2,Medfield,MA,2052,839000,3.0,2.5,Harding,2338.0,36430.16485259174,2019.0,3,359.0,400.0,42.1871281,-71.3041699,16,"(800000, 850000]",7,"(777000.0, 1099960.0]"
Single Family Residential,29 Boynton Rd,Templeton,MA,1468,265000,3.0,3.0,Templeton,2662.0,32670.0,1763.0,3,100.0,0.0,42.5579119,-72.0681345,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Single Family Residential,1 Old Barre Rd,Petersham,MA,1366,284900,3.0,2.0,Petersham,1850.0,69696.0,1890.0,3,154.0,0.0,42.4812658,-72.12773840000001,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Single Family Residential,22 Highfield Cir,Milton,MA,2186,889000,4.0,3.0,Milton,2719.0,4905.0,1952.0,3,327.0,0.0,42.257380299999994,-71.04868570000001,17,"(850000, 900000]",7,"(777000.0, 1099960.0]"
Single Family Residential,42 Halsey Rd,Boston,MA,2136,479900,3.0,2.0,Hyde Park,1008.0,5200.0,1950.0,3,476.0,0.0,42.242295,-71.1247406,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Single Family Residential,32 Woodsome Ave,Leominster,MA,1453,325000,3.0,1.5,Leominster,2046.0,21781.0,1941.0,3,159.0,0.0,42.5668047,-71.75513520000001,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Single Family Residential,26 Westchester Dr,Auburn,MA,1501,329900,4.0,2.0,Auburn,1500.0,11885.0,1971.0,3,220.0,0.0,42.193720299999995,-71.82828549999999,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Townhouse,303 Winchester St Unit C,Newton,MA,2461,899000,3.0,2.5,Newton Highlands,1965.0,31345.943012151318,1984.0,3,458.0,484.0,42.309984,-71.20808659999999,17,"(850000, 900000]",7,"(777000.0, 1099960.0]"
Single Family Residential,74 Pinedale Ave,Billerica,MA,1821,524900,3.0,1.5,Billerica,2058.0,21000.0,1968.0,3,255.0,0.0,42.532416,-71.2170478,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Condo/Co-op,65 Commercial Wharf Ph 4,Boston,MA,2110,3500000,3.0,3.0,Waterfront,2703.0,41405.34172058304,1875.0,3,1295.0,1722.0,42.3619901,-71.04989379999999,69,"(3450000, 3500000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,344 Dedham St,Dover,MA,2030,1749000,4.0,2.0,Dover,2810.0,261360.0,1951.0,3,622.0,0.0,42.2577179,-71.23351600000001,34,"(1700000, 1750000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,55 Farm Rd,Sherborn,MA,1770,1199000,4.0,4.0,Sherborn,5029.0,358499.0,1980.0,3,238.0,0.0,42.240159999999996,-71.359573,23,"(1150000, 1200000]",8,"(1099960.0, 1582000.0]"
Single Family Residential,301 Summer St,Weymouth,MA,2188,459900,3.0,1.0,Weymouth,1322.0,7494.0,1928.0,3,348.0,0.0,42.20364420000001,-70.9679846,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Single Family Residential,23 Heather Dr,Norwood,MA,2062,500000,3.0,2.0,Norwood,1500.0,21651.0,1967.0,3,333.0,0.0,42.1791523,-71.1753237,9,"(450000, 500000]",4,"(480000.0, 549900.0]"
Single Family Residential,27 Oldfield Dr,Sherborn,MA,1770,798000,4.0,2.5,Sherborn,3320.0,91476.0,1972.0,3,240.0,0.0,42.2474927,-71.39999509999998,15,"(750000, 800000]",7,"(777000.0, 1099960.0]"
Single Family Residential,20 Elliott Rd,Everett,MA,2149,539900,2.0,2.0,Everett,2100.0,4299.0,1955.0,3,257.0,0.0,42.418186799999994,-71.04673570000001,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Single Family Residential,34 Benham St,Brockton,MA,2302,375000,4.0,2.0,Brockton,2190.0,7593.0,1960.0,3,171.0,0.0,42.086807,-71.0031365,7,"(350000, 400000]",2,"(319900.0, 399900.0]"
Multi-Family (2-4 Unit),11 Avon Pl,Arlington,MA,2474,1100000,7.0,3.0,Arlington,4506.0,5210.0,1904.0,3,244.0,0.0,42.4130196,-71.1503985,21,"(1050000, 1100000]",8,"(1099960.0, 1582000.0]"
Single Family Residential,31 Hartford St,Dover,MA,2030,1849000,4.0,4.5,Dover,6813.0,40029.0,2007.0,3,271.0,0.0,42.211849799999996,-71.25814100000001,36,"(1800000, 1850000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,222 Warren St,Brookline,MA,2445,8475000,8.0,7.5,Chestnut Hill,7000.0,80028.0,1848.0,3,1211.0,0.0,42.3209377,-71.13215059999999,169,"(8450000, 8500000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,16 Worster,Medford,MA,2155,699900,3.0,2.5,Medford,2307.0,5528.0,1987.0,3,303.0,0.0,42.4292986,-71.0981294,13,"(650000, 700000]",6,"(635980.0, 777000.0]"
Townhouse,25 Jefferson Dr #25,Lexington,MA,2420,1325000,4.0,4.5,Lexington,3290.0,49406.516574037545,2020.0,3,403.0,452.0,42.487208,-71.24042890000001,26,"(1300000, 1350000]",8,"(1099960.0, 1582000.0]"
Single Family Residential,Lot 20 Autumn Dr,Westwood,MA,2090,1549000,4.0,3.5,Autumn Estates,4000.0,76230.0,2020.0,3,387.0,0.0,42.2024628,-71.2212246,30,"(1500000, 1550000]",8,"(1099960.0, 1582000.0]"
Condo/Co-op,59 Addington Rd #1,Brookline,MA,2445,1300000,2.0,2.5,Brookline,1393.0,23549.227482038925,1910.0,3,933.0,588.0,42.3358551,-71.135127,25,"(1250000, 1300000]",8,"(1099960.0, 1582000.0]"
Condo/Co-op,59 Addington Rd #2,Brookline,MA,2445,1350000,3.0,2.5,Brookline,1350.0,22963.110755124882,1910.0,3,1000.0,570.0,42.3358551,-71.135127,26,"(1300000, 1350000]",8,"(1099960.0, 1582000.0]"
Condo/Co-op,59 Addington Rd #3,Brookline,MA,2445,1450000,3.0,2.5,Brookline,1467.0,24557.893477193327,1910.0,3,988.0,620.0,42.3358551,-71.135127,28,"(1400000, 1450000]",8,"(1099960.0, 1582000.0]"
Condo/Co-op,59 Addington Rd #4,Brookline,MA,2445,1650000,3.0,2.5,Brookline,1716.0,27951.918244672324,1910.0,3,962.0,723.0,42.3358551,-71.135127,32,"(1600000, 1650000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,384 Dudley Rd,Newton,MA,2459,1987400,5.0,4.5,Newton,4711.0,15211.0,2004.0,3,422.0,0.0,42.3086689,-71.18112540000001,39,"(1950000, 2000000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,250 ANAWAN St,Rehoboth,MA,2769,295000,2.0,1.0,Rehoboth,1000.0,61307.0,1900.0,3,295.0,0.0,41.8728362,-71.2319449,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Townhouse,288 Main St #1,Acton,MA,1720,689900,3.0,3.5,Acton,2905.0,30056.0,2009.0,3,237.0,275.0,42.476144,-71.452832,13,"(650000, 700000]",6,"(635980.0, 777000.0]"
Single Family Residential,Lot 10 Foxhollow Rd,Hopkinton,MA,1748,1499000,5.0,4.5,Hopkinton,4349.0,38332.0,2020.0,3,345.0,0.0,42.213721899999996,-71.5868105,29,"(1450000, 1500000]",8,"(1099960.0, 1582000.0]"
Single Family Residential,33 Jerome St,Berkley,MA,2779,469900,4.0,2.5,Berkley,2776.0,43560.0,1988.0,3,169.0,0.0,41.8580289,-71.0698103,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Townhouse,93 Concord St Unit 93,Ashland,MA,1721,349900,3.0,1.5,Ashland,1875.0,18282.0,1970.0,3,187.0,0.0,42.261771,-71.461479,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Condo/Co-op,385 Main St #4,Woburn,MA,1801,299900,1.0,1.0,Woburn,750.0,14784.737821440553,1899.0,3,400.0,125.0,42.4799304,-71.1515125,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Condo/Co-op,385 Main St #2,Woburn,MA,1801,299900,1.0,1.0,Woburn,725.0,14443.972282537039,1899.0,3,414.0,125.0,42.4799304,-71.1515125,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Single Family Residential,115 Bogle St,Weston,MA,2493,1550000,4.0,3.5,Weston,3911.0,47264.0,1968.0,3,396.0,0.0,42.3222607,-71.32317090000001,30,"(1500000, 1550000]",8,"(1099960.0, 1582000.0]"
Single Family Residential,138 Waverly Ave,Melrose,MA,2176,699000,4.0,2.5,Mount Hood,3173.0,7812.0,1949.0,3,220.0,0.0,42.4574932,-71.046875,13,"(650000, 700000]",6,"(635980.0, 777000.0]"
Single Family Residential,16 Highland St,Spencer,MA,1562,85900,3.0,1.0,Spencer,1004.0,13931.0,1880.0,3,86.0,0.0,42.2491128,-71.9892432,1,"(50000, 100000]",0,"(49899.999, 255980.0]"
Single Family Residential,23 Peterson,Natick,MA,1760,599900,4.0,2.5,Peterson/Ingleside/Oak,1980.0,15072.0,1958.0,3,303.0,0.0,42.311389899999995,-71.3308262,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Single Family Residential,92 Lowther,Framingham,MA,1701,314900,3.0,1.0,Framingham,1360.0,9967.0,1956.0,3,232.0,0.0,42.3181334,-71.40579340000001,6,"(300000, 350000]",1,"(255980.0, 319900.0]"
Townhouse,14 Gates Rd Unit A,Worcester,MA,1603,250000,2.0,1.5,Worcester,2068.0,32749.897032433797,1987.0,3,121.0,0.0,42.2474352,-71.8450677,4,"(200000, 250000]",0,"(49899.999, 255980.0]"
Single Family Residential,796 Waverley St,Framingham,MA,1702,379900,4.0,2.0,Framingham,1258.0,9583.0,1864.0,3,302.0,0.0,42.272791299999994,-71.43125959999999,7,"(350000, 400000]",2,"(319900.0, 399900.0]"
Single Family Residential,102 Sears Rd,Wayland,MA,1778,1250000,5.0,3.5,Wayland,4068.0,89621.0,1960.0,3,307.0,0.0,42.3839433,-71.34360790000001,24,"(1200000, 1250000]",8,"(1099960.0, 1582000.0]"
Single Family Residential,46 Rutherford Ave,Boston,MA,2129,1459000,3.0,3.5,Charlestown,1656.0,1168.0,2012.0,3,881.0,0.0,42.3725011,-71.0642878,29,"(1450000, 1500000]",8,"(1099960.0, 1582000.0]"
Condo/Co-op,33 Pond Ave #305,Brookline,MA,2445,789000,2.0,2.0,Brookline Village,1260.0,21736.35481507223,1970.0,3,626.0,1065.0,42.3313518,-71.1140979,15,"(750000, 800000]",7,"(777000.0, 1099960.0]"
Single Family Residential,43 Creeper Hill Rd,Grafton,MA,1536,255000,3.0,2.0,Grafton,1338.0,38663.0,1987.0,3,191.0,0.0,42.240862899999996,-71.71820140000001,5,"(250000, 300000]",0,"(49899.999, 255980.0]"
Single Family Residential,225 Country Hill Dr,Dighton,MA,2764,629900,4.0,3.0,Dighton,3629.0,46609.0,1990.0,3,174.0,0.0,41.8470322,-71.1181373,12,"(600000, 650000]",5,"(549900.0, 635980.0]"
