PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE_BIN,PRICE_BIN_RANGE,PRICE_BIN_ALT,PRICE_BIN_ALT_RANGE
Single Family Residential,75 Tanbark Rd,Sudbury,MA,1776,1199000,4.0,4.0,Sudbury,6561.0,42613.0,1995.0,1,183.0,0.0,42.3788303,-71.4514109,23,"(1150000, 1200000]",8,"(1099960.0, 1582000.0]"
Multi-Family (2-4 Unit),1092-1094 Main St,Waltham,MA,2453,869000,7.0,2.5,Cedarwood,2500.0,10890.0,1900.0,1,348.0,0.0,42.376237100000004,-71.2561819,17,"(850000, 900000]",7,"(777000.0, 1099960.0]"
Townhouse,114 Commonwealth Ave #3,Boston,MA,2116,1995000,2.0,2.0,Back Bay,1538.0,25525.667607679305,1880.0,1,1297.0,420.0,42.351849200000004,-71.0765273,39,"(1950000, 2000000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,25 Skyview Ln,Sudbury,MA,1776,1650000,5.0,5.0,Sudbury,6414.0,58731.0,2001.0,1,257.0,0.0,42.422805600000004,-71.4043786,32,"(1600000, 1650000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,6 Melina Rd,Newton,MA,2459,1888888,4.0,4.5,Newton,4083.0,15174.0,1967.0,1,463.0,0.0,42.311236799999996,-71.196488,37,"(1850000, 1900000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,12 Dassance Dr,Foxboro,MA,2035,639900,4.0,2.5,Foxboro,2300.0,42614.0,1983.0,1,278.0,0.0,42.0539109,-71.19623270000001,12,"(600000, 650000]",6,"(635980.0, 777000.0]"
Multi-Family (2-4 Unit),17 Forrest St,Winthrop,MA,2152,599000,4.0,2.0,Winthrop,2083.0,3194.0,1900.0,1,288.0,0.0,42.375434999999996,-70.97253549999999,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Condo/Co-op,31 Church Grn #102,Taunton,MA,2780,179900,1.0,1.0,Taunton,782.0,15220.91771123705,1985.0,1,230.0,333.0,41.9026329,-71.0871879,3,"(150000, 200000]",0,"(49899.999, 255980.0]"
Single Family Residential,37 Walnut St,Millis,MA,2054,428000,3.0,2.0,Millis,1688.0,18295.0,1960.0,1,254.0,0.0,42.1880909,-71.38037309999999,8,"(400000, 450000]",3,"(399900.0, 480000.0]"
Single Family Residential,lot 2 Granite Ave,Raynham,MA,2767,710000,3.0,2.5,Raynham,2500.0,58625.0,2020.0,1,284.0,0.0,41.942719399999994,-71.06166230000001,14,"(700000, 750000]",6,"(635980.0, 777000.0]"
Single Family Residential,58 Welch Rd,Brookline,MA,2445,3799000,9.0,6.0,Brookline,8790.0,33145.0,1903.0,1,432.0,0.0,42.326426500000004,-71.1313438,75,"(3750000, 3800000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,167 S Franklin St,Holbrook,MA,2343,229900,3.0,1.0,Holbrook,1528.0,5400.0,1963.0,1,150.0,0.0,42.150151799999996,-71.0082732,4,"(200000, 250000]",0,"(49899.999, 255980.0]"
Single Family Residential,335 Chestnut St,Wilmington,MA,1887,869900,4.0,2.5,Wilmington,3000.0,93977.0,2019.0,1,290.0,0.0,42.5232974,-71.17120440000001,17,"(850000, 900000]",7,"(777000.0, 1099960.0]"
Single Family Residential,15 Fenton Dr,Worcester,MA,1602,264900,3.0,1.5,Worcester,1536.0,4638.0,2004.0,1,172.0,0.0,42.28038660000001,-71.84576779999999,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Condo/Co-op,35 Granite St #2,Cambridge,MA,2139,505000,1.0,1.0,Cambridgeport,497.0,11336.190567736994,1886.0,1,1016.0,125.0,42.356385700000004,-71.112282,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Single Family Residential,99 Leedham St,Attleboro,MA,2703,349000,3.0,2.0,Attleboro,1144.0,12092.0,1998.0,1,305.0,0.0,41.9040213,-71.3792597,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Condo/Co-op,135 Seaport Blvd #1018,Boston,MA,2210,819700,0.0,1.0,Seaport District,520.0,11649.694863528228,2020.0,1,1576.0,532.0,42.3509604,-71.04390129999999,16,"(800000, 850000]",7,"(777000.0, 1099960.0]"
Single Family Residential,12 Fox Run,Brookfield,MA,1506,119000,3.0,2.0,Brookfield Meadows,1250.0,21780.0,1992.0,1,95.0,430.0,42.1887353,-72.1348878,2,"(100000, 150000]",0,"(49899.999, 255980.0]"
Condo/Co-op,133 Seaport Blvd #720,Boston,MA,2210,1938600,2.0,2.5,Seaport District,1255.0,21668.20170729153,2019.0,1,1545.0,1348.0,42.3504935,-71.0434498,38,"(1900000, 1950000]",9,"(1582000.0, 11000000.0]"
Condo/Co-op,133 Seaport Blvd #1815,Boston,MA,2210,1200000,1.0,1.0,Seaport District,800.0,15466.26889924758,2019.0,1,1500.0,816.0,42.3504935,-71.0434498,23,"(1150000, 1200000]",8,"(1099960.0, 1582000.0]"
Condo/Co-op,176-178 HYDE PARK Ave #2,Boston,MA,2130,418900,2.0,1.0,Jamaica Plains Forest Hills,900.0,871.0,1899.0,1,465.0,330.0,42.2949174,-71.116484,8,"(400000, 450000]",3,"(399900.0, 480000.0]"
Single Family Residential,235 Pleasant St,Paxton,MA,1612,314000,4.0,1.5,Paxton,2047.0,165415.0,1929.0,1,153.0,0.0,42.289969,-71.8992153,6,"(300000, 350000]",1,"(255980.0, 319900.0]"
Single Family Residential,1 & 11 Kenilworth Rd,Wellesley,MA,2482,11000000,7.0,8.5,Wellesley,10099.0,67082.0,2020.0,1,1089.0,0.0,42.283963,-71.28701099999999,219,"(10950000, 11000000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,1 Minuteman Ln,Oxford,MA,1540,265000,3.0,2.5,Oxford,2688.0,57499.0,2003.0,1,99.0,0.0,42.1185382,-71.8690612,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Condo/Co-op,30 Abbey Rd #103,Leominster,MA,1453,111111,2.0,1.5,Leominster,948.0,17483.60088955638,1988.0,1,117.0,175.0,42.5063991,-71.7476884,2,"(100000, 150000]",0,"(49899.999, 255980.0]"
Single Family Residential,271 W Princeton Rd Lot 2,Westminster,MA,1473,525000,3.0,2.0,Westminster,1800.0,278304.0,2020.0,1,292.0,0.0,42.4985956,-71.909064,10,"(500000, 550000]",4,"(480000.0, 549900.0]"
Multi-Family (2-4 Unit),28 Orne St,North Attleboro,MA,2760,409900,5.0,4.5,North Attleboro,2481.0,5653.0,1920.0,1,165.0,0.0,41.9832575,-71.3310582,8,"(400000, 450000]",3,"(399900.0, 480000.0]"
Condo/Co-op,175 Tyson Commons Ln #175,Braintree,MA,2184,349900,2.0,2.0,Braintree,965.0,17715.321456010774,1989.0,1,363.0,382.0,42.173769899999996,-70.982113,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Townhouse,10 Locust Ln Unit E,Watertown,MA,2472,619900,3.0,2.5,Watertown,1724.0,28060.963217121447,1989.0,1,360.0,382.0,42.374427000000004,-71.194827,12,"(600000, 650000]",5,"(549900.0, 635980.0]"
Townhouse,81 Bishops Forest Dr #81,Waltham,MA,2452,589900,2.0,3.5,Waltham,2251.0,35244.300777207514,1988.0,1,262.0,560.0,42.3992139,-71.2304272,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Condo/Co-op,229 Vernon St #3,Worcester,MA,1607,104900,2.0,1.0,Worcester,728.0,14484.86414720546,1986.0,1,144.0,300.0,42.2392106,-71.79615009999999,2,"(100000, 150000]",0,"(49899.999, 255980.0]"
Single Family Residential,118 School St,Taunton,MA,2780,275000,4.0,1.5,Taunton,1625.0,7405.0,1900.0,1,169.0,0.0,41.9080412,-71.0901445,5,"(250000, 300000]",1,"(255980.0, 319900.0]"
Single Family Residential,60 Willow Ave,Winthrop,MA,2152,470000,3.0,1.0,Winthrop,1307.0,5100.0,1952.0,1,360.0,0.0,42.3745915,-70.97831690000001,9,"(450000, 500000]",3,"(399900.0, 480000.0]"
Townhouse,168 Ayer Rd Unit G3,Shirley,MA,1464,149900,2.0,1.5,Shirley,1256.0,21681.83232884767,1985.0,1,119.0,273.0,42.549322100000005,-71.6341287,2,"(100000, 150000]",0,"(49899.999, 255980.0]"
Single Family Residential,100 Longmeadow Ave,Worcester,MA,1606,229900,3.0,2.0,Worcester,1543.0,9404.0,1930.0,1,149.0,0.0,42.303244,-71.7846167,4,"(200000, 250000]",0,"(49899.999, 255980.0]"
Mobile/Manufactured Home,305 Turnpike St #217,Easton,MA,2375,73900,2.0,1.0,Easton,980.0,17919.780779352877,1987.0,1,75.0,468.0,42.022889,-71.069625,1,"(50000, 100000]",0,"(49899.999, 255980.0]"
Single Family Residential,14 Rogers Cir,Devens,MA,1434,573450,3.0,2.5,Emerson Green,1930.0,7128.0,2021.0,1,297.0,95.0,42.5360141,-71.6139348,11,"(550000, 600000]",5,"(549900.0, 635980.0]"
Condo/Co-op,55 Commercial Wharf #6,Boston,MA,2110,1639000,2.0,2.0,Waterfront,1304.0,1304.0,1832.0,1,1257.0,874.0,42.3616464,-71.0503209,32,"(1600000, 1650000]",9,"(1582000.0, 11000000.0]"
Single Family Residential,269 Clifton,Attleboro,MA,2703,345000,3.0,2.0,Attleboro,1558.0,18225.0,1945.0,1,221.0,0.0,41.9556929,-71.30911259999999,6,"(300000, 350000]",2,"(319900.0, 399900.0]"
Condo/Co-op,141 Dorchester Ave #910,Boston,MA,2127,1295000,2.0,2.5,South Boston,1886.0,1886.0,2007.0,1,687.0,1816.0,42.3419516,-71.0574969,25,"(1250000, 1300000]",8,"(1099960.0, 1582000.0]"
Single Family Residential,11 Key West Blvd,Rehoboth,MA,2769,769000,4.0,2.5,Cedar Hill Estates,3814.0,132422.0,2015.0,1,202.0,0.0,41.8172521,-71.2143097,15,"(750000, 800000]",6,"(635980.0, 777000.0]"
